"Part";"Value";"Device";"Package";"Description";"COPYRIGHT";"MANUFACTURER";"MANUFACTURER_PART_NUMBER";"MAXIMUM_PACKAGE_HEIGHT";"MF";"MFR_NAME";"MPN";"OC_FARNELL";"OC_NEWARK";"PARTREV";"POPULARITY";"SPICEPREFIX";"STANDARD";
"D1";"1655";"1655";"LED_1655";"Ws2812b 5050 Rgb Led With Integrated Driver Chip Pack Of 10";"";"Adafruit Industries";"";"1.6 mm";"";"";"";"";"";"01";"";"";"Manufacturer recommendations";
"D2";"1655";"1655";"LED_1655";"Ws2812b 5050 Rgb Led With Integrated Driver Chip Pack Of 10";"";"Adafruit Industries";"";"1.6 mm";"";"";"";"";"";"01";"";"";"Manufacturer recommendations";
"D3";"1655";"1655";"LED_1655";"Ws2812b 5050 Rgb Led With Integrated Driver Chip Pack Of 10";"";"Adafruit Industries";"";"1.6 mm";"";"";"";"";"";"01";"";"";"Manufacturer recommendations";
"D4";"1655";"1655";"LED_1655";"Ws2812b 5050 Rgb Led With Integrated Driver Chip Pack Of 10";"";"Adafruit Industries";"";"1.6 mm";"";"";"";"";"";"01";"";"";"Manufacturer recommendations";
"D5";"1655";"1655";"LED_1655";"Ws2812b 5050 Rgb Led With Integrated Driver Chip Pack Of 10";"";"Adafruit Industries";"";"1.6 mm";"";"";"";"";"";"01";"";"";"Manufacturer recommendations";
"D6";"1655";"1655";"LED_1655";"Ws2812b 5050 Rgb Led With Integrated Driver Chip Pack Of 10";"";"Adafruit Industries";"";"1.6 mm";"";"";"";"";"";"01";"";"";"Manufacturer recommendations";
"D7";"1655";"1655";"LED_1655";"Ws2812b 5050 Rgb Led With Integrated Driver Chip Pack Of 10";"";"Adafruit Industries";"";"1.6 mm";"";"";"";"";"";"01";"";"";"Manufacturer recommendations";
"Q1";"QRE1113";"QRE1113";"DIP4_100AQ_ONS";"";"Copyright (C) 2024 Ultra Librarian. All rights reserved.";"";"QRE1113";"";"";"onsemi";"";"";"";"";"";"";"";
"Q2";"QRE1113";"QRE1113";"DIP4_100AQ_ONS";"";"Copyright (C) 2024 Ultra Librarian. All rights reserved.";"";"QRE1113";"";"";"onsemi";"";"";"";"";"";"";"";
"Q3";"QRE1113";"QRE1113";"DIP4_100AQ_ONS";"";"Copyright (C) 2024 Ultra Librarian. All rights reserved.";"";"QRE1113";"";"";"onsemi";"";"";"";"";"";"";"";
"Q4";"QRE1113";"QRE1113";"DIP4_100AQ_ONS";"";"Copyright (C) 2024 Ultra Librarian. All rights reserved.";"";"QRE1113";"";"";"onsemi";"";"";"";"";"";"";"";
"Q5";"QRE1113";"QRE1113";"DIP4_100AQ_ONS";"";"Copyright (C) 2024 Ultra Librarian. All rights reserved.";"";"QRE1113";"";"";"onsemi";"";"";"";"";"";"";"";
"Q6";"QRE1113";"QRE1113";"DIP4_100AQ_ONS";"";"Copyright (C) 2024 Ultra Librarian. All rights reserved.";"";"QRE1113";"";"";"onsemi";"";"";"";"";"";"";"";
"Q7";"QRE1113";"QRE1113";"DIP4_100AQ_ONS";"";"Copyright (C) 2024 Ultra Librarian. All rights reserved.";"";"QRE1113";"";"";"onsemi";"";"";"";"";"";"";"";
"R1";"100";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"81";"R";"";
"R2";"100k";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"81";"R";"";
"R3";"100";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"81";"R";"";
"R4";"100k";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"81";"R";"";
"R5";"100";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"81";"R";"";
"R6";"100k";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"81";"R";"";
"R7";"100";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"81";"R";"";
"R8";"100k";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"81";"R";"";
"R9";"100";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"81";"R";"";
"R10";"10k";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"81";"R";"";
"R11";"100";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"81";"R";"";
"R12";"100k";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"81";"R";"";
"R13";"100";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"81";"R";"";
"R14";"100k";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"81";"R";"";
"SV2";"header";"MA08-1";"MA08-1";"PIN HEADER";"";"";"";"";"";"";"";"unknown";"unknown";"";"10";"X";"";
"SV3";"header";"MA08-1";"MA08-1";"PIN HEADER";"";"";"";"";"";"";"";"unknown";"unknown";"";"10";"";"";
"U1";"CD4051BE";"CD4051BE";"N16";"";"Copyright (C) 2024 Ultra Librarian. All rights reserved.";"";"CD4051BE";"";"";"Texas Instruments";"";"";"";"";"";"";"";
