"Part";"Value";"Device";"Package";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"COPYRIGHT";"DESCRIPTION";"HEIGHT";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MAXIMUM_PACKAGE_HEIGHT";"MFR_NAME";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"PARTREV";"POPULARITY";"SPICEPREFIX";"STANDARD";
"D1";"1655";"1655";"LED_1655";"Ws2812b 5050 Rgb Led With Integrated Driver Chip Pack Of 10";"";"";"";"";"";"Adafruit Industries";"";"";"1.6 mm";"";"";"";"01";"";"";"Manufacturer recommendations";
"D2";"1655";"1655";"LED_1655";"Ws2812b 5050 Rgb Led With Integrated Driver Chip Pack Of 10";"";"";"";"";"";"Adafruit Industries";"";"";"1.6 mm";"";"";"";"01";"";"";"Manufacturer recommendations";
"D3";"1655";"1655";"LED_1655";"Ws2812b 5050 Rgb Led With Integrated Driver Chip Pack Of 10";"";"";"";"";"";"Adafruit Industries";"";"";"1.6 mm";"";"";"";"01";"";"";"Manufacturer recommendations";
"D4";"1655";"1655";"LED_1655";"Ws2812b 5050 Rgb Led With Integrated Driver Chip Pack Of 10";"";"";"";"";"";"Adafruit Industries";"";"";"1.6 mm";"";"";"";"01";"";"";"Manufacturer recommendations";
"D5";"1655";"1655";"LED_1655";"Ws2812b 5050 Rgb Led With Integrated Driver Chip Pack Of 10";"";"";"";"";"";"Adafruit Industries";"";"";"1.6 mm";"";"";"";"01";"";"";"Manufacturer recommendations";
"D6";"1655";"1655";"LED_1655";"Ws2812b 5050 Rgb Led With Integrated Driver Chip Pack Of 10";"";"";"";"";"";"Adafruit Industries";"";"";"1.6 mm";"";"";"";"01";"";"";"Manufacturer recommendations";
"D7";"1655";"1655";"LED_1655";"Ws2812b 5050 Rgb Led With Integrated Driver Chip Pack Of 10";"";"";"";"";"";"Adafruit Industries";"";"";"1.6 mm";"";"";"";"01";"";"";"Manufacturer recommendations";
"FFCIN";"52806-1410";"52806-1410";"528061410";"Molex 2mm Pitch 14 Way Straight Female FPC Connector";"";"";"";"Molex 2mm Pitch 14 Way Straight Female FPC Connector";"5.6mm";"";"Molex";"52806-1410";"";"";"538-52806-1410";"https://www.mouser.co.uk/ProductDetail/Molex/52806-1410?qs=%252BdbFUiYBkDYU5moeZz2crA%3D%3D";"";"";"";"";
"FFCOUT";"52806-1410";"52806-1410";"528061410";"Molex 2mm Pitch 14 Way Straight Female FPC Connector";"";"";"";"Molex 2mm Pitch 14 Way Straight Female FPC Connector";"5.6mm";"";"Molex";"52806-1410";"";"";"538-52806-1410";"https://www.mouser.co.uk/ProductDetail/Molex/52806-1410?qs=%252BdbFUiYBkDYU5moeZz2crA%3D%3D";"";"";"";"";
"Q1";"QRE1113";"QRE1113";"DIP4_100AQ_ONS";"";"";"";"Copyright (C) 2024 Ultra Librarian. All rights reserved.";"";"";"";"";"QRE1113";"";"onsemi";"";"";"";"";"";"";
"Q2";"QRE1113";"QRE1113";"DIP4_100AQ_ONS";"";"";"";"Copyright (C) 2024 Ultra Librarian. All rights reserved.";"";"";"";"";"QRE1113";"";"onsemi";"";"";"";"";"";"";
"Q3";"QRE1113";"QRE1113";"DIP4_100AQ_ONS";"";"";"";"Copyright (C) 2024 Ultra Librarian. All rights reserved.";"";"";"";"";"QRE1113";"";"onsemi";"";"";"";"";"";"";
"Q4";"QRE1113";"QRE1113";"DIP4_100AQ_ONS";"";"";"";"Copyright (C) 2024 Ultra Librarian. All rights reserved.";"";"";"";"";"QRE1113";"";"onsemi";"";"";"";"";"";"";
"Q5";"QRE1113";"QRE1113";"DIP4_100AQ_ONS";"";"";"";"Copyright (C) 2024 Ultra Librarian. All rights reserved.";"";"";"";"";"QRE1113";"";"onsemi";"";"";"";"";"";"";
"Q6";"QRE1113";"QRE1113";"DIP4_100AQ_ONS";"";"";"";"Copyright (C) 2024 Ultra Librarian. All rights reserved.";"";"";"";"";"QRE1113";"";"onsemi";"";"";"";"";"";"";
"Q7";"QRE1113";"QRE1113";"DIP4_100AQ_ONS";"";"";"";"Copyright (C) 2024 Ultra Librarian. All rights reserved.";"";"";"";"";"QRE1113";"";"onsemi";"";"";"";"";"";"";
"R1";"100";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"81";"R";"";
"R3";"100";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"81";"R";"";
"R5";"100";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"81";"R";"";
"R7";"100";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"81";"R";"";
"R9";"100";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"81";"R";"";
"R11";"100";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"81";"R";"";
"R13";"100";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"81";"R";"";
"RDV";"1M";"R-EU_0207/10";"0207/10";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"81";"R";"";
"SJ1";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";"33";"";"";
"SJ2";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";"33";"";"";
"SJ3";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";"33";"";"";
"SJ4";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";"33";"";"";
"SJ5";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";"33";"";"";
"SJ6";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";"33";"";"";
"SJ7";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";"33";"";"";
"U1";"CD4051BE";"CD4051BE";"N16";"";"";"";"Copyright (C) 2024 Ultra Librarian. All rights reserved.";"";"";"";"";"CD4051BE";"";"Texas Instruments";"";"";"";"";"";"";
